"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE","rmse_nyc","rmse_van","mae_nyc","mae_van"
50,3,0.01,0,1,0.6,0.6,7.8590887822127,6.22662139357182,2.87611042810252,1.04771423339844,2.28656387329102,1.04771423339844
150,3,0.01,0,1,0.6,0.6,7.39821251822674,5.82606600041975,2.96822690069698,1.05084228515625,2.22780609130859,1.05084228515625
200,3,0.01,0,1,0.6,0.6,7.17836931406354,5.63121541341146,3.00263767718854,1.06060028076172,2.43152236938477,1.06060028076172
250,3,0.01,0,1,0.6,0.6,6.98529399671779,5.46285033644291,3.20581280389343,1.04493713378906,2.73879623413086,1.04493713378906
50,6,0.01,0,1,0.6,0.6,7.8473785084041,6.21111819618627,2.86723419251499,1.04010009765625,2.28710556030273,1.04010009765625
150,6,0.01,0,1,0.6,0.6,7.33630035981866,5.75716507225706,3.02102361145719,1.1998291015625,2.27837753295898,1.1998291015625
200,6,0.01,0,1,0.6,0.6,7.1432168540746,5.57818643670333,3.12521418650503,1.17957305908203,2.53041839599609,1.17957305908203
250,6,0.01,0,1,0.6,0.6,6.89706139317731,5.3671013012267,3.1815394221725,1.14460754394531,2.72578048706055,1.14460754394531
50,9,0.01,0,1,0.6,0.6,7.84439795816991,6.20390681216591,2.87646723091453,1.12825775146484,2.27996444702148,1.12825775146484
150,9,0.01,0,1,0.6,0.6,7.34330127313259,5.7505565442537,3.03234131708875,1.15583801269531,2.27108383178711,1.15583801269531
200,9,0.01,0,1,0.6,0.6,7.14990040999678,5.59566899349815,2.95791180437395,1.19367980957031,2.43207168579102,1.19367980957031
250,9,0.01,0,1,0.6,0.6,6.89906836881624,5.35293391712925,3.02375837225032,1.12673950195312,2.60923767089844,1.12673950195312
50,3,0.05,0,1,0.6,0.6,6.9742484101631,5.43779727868866,3.18877467311566,0.663124084472656,2.72236633300781,0.663124084472656
150,3,0.05,0,1,0.6,0.6,5.50161358195492,4.32326735111705,4.19715142685831,1.25946807861328,4.11120986938477,1.25946807861328
200,3,0.05,0,1,0.6,0.6,4.88124806076661,3.74962963974267,4.59387799392354,1.47837829589844,4.56975173950195,1.47837829589844
250,3,0.05,0,1,0.6,0.6,4.56071180882565,3.60531495746813,4.67303343722138,1.67781066894531,4.63990020751953,1.67781066894531
50,6,0.05,0,1,0.6,0.6,6.91317191302872,5.38833992941338,3.07121290932085,1.29499816894531,2.71233749389648,1.29499816894531
150,6,0.05,0,1,0.6,0.6,5.16680819529629,3.95425589042797,4.32550199729643,0.727264404296875,4.28473281860352,0.727264404296875
200,6,0.05,0,1,0.6,0.6,4.65759647183156,3.5155049374229,4.38172585752339,1.03928375244141,4.32808685302734,1.03928375244141
250,6,0.05,0,1,0.6,0.6,4.36513665869884,3.32798539546498,4.09867629932533,0.3428955078125,4.08855438232422,0.3428955078125
50,9,0.05,0,1,0.6,0.6,6.88302760928444,5.37794293855366,3.30667464427723,1.04254150390625,2.8210563659668,1.04254150390625
150,9,0.05,0,1,0.6,0.6,5.1716807224921,3.88749386971457,4.3655572401673,0.528495788574219,4.3031005859375,0.528495788574219
200,9,0.05,0,1,0.6,0.6,4.69928932694788,3.57571022970635,4.18789160938177,1.24947357177734,4.18676376342773,1.24947357177734
250,9,0.05,0,1,0.6,0.6,4.33314103853037,3.34038918478447,4.50883040565803,2.162109375,4.48998260498047,2.162109375
50,3,0.1,0,1,0.6,0.6,6.14105470495087,4.78982945492393,4.02225197228201,1.39258575439453,3.97109985351562,1.39258575439453
150,3,0.1,0,1,0.6,0.6,4.33310825681478,3.35814251816064,4.67696434904843,0.653724670410156,4.4345703125,0.653724670410156
200,3,0.1,0,1,0.6,0.6,4.00408905474582,3.15834446957237,4.82416416944353,1.37104034423828,4.79803848266602,1.37104034423828
250,3,0.1,0,1,0.6,0.6,3.94260119757453,3.07775584438391,4.33071273407794,0.638755798339844,4.31868362426758,0.638755798339844
50,6,0.1,0,1,0.6,0.6,5.91620126617582,4.59293164704975,3.89042290485148,1.47108459472656,3.78945922851562,1.47108459472656
150,6,0.1,0,1,0.6,0.6,4.29430115012456,3.30750810054311,4.73618549797043,0.0283737182617188,4.73610687255859,0.0283737182617188
200,6,0.1,0,1,0.6,0.6,4.12728031650784,3.24604221812466,5.09397245573204,2.30694580078125,5.08229827880859,2.30694580078125
250,6,0.1,0,1,0.6,0.6,4.00265623976326,3.15508203339158,5.07474437862137,1.47554779052734,5.07183837890625,1.47554779052734
50,9,0.1,0,1,0.6,0.6,5.95149068255349,4.61746764601323,4.02495328104516,0.572525024414062,3.82118988037109,0.572525024414062
150,9,0.1,0,1,0.6,0.6,4.07538796289603,3.07207448858964,4.90243050659791,0.00579833984375,4.83038711547852,0.00579833984375
200,9,0.1,0,1,0.6,0.6,3.88056110307408,3.04051007722553,4.05138567874686,2.01355743408203,4.00783920288086,2.01355743408203
250,9,0.1,0,1,0.6,0.6,3.80201024125557,3.1614058645148,6.03898243830851,1.58863830566406,6.02498245239258,1.58863830566406
50,3,0.01,0,3,0.6,0.6,7.85849133862148,6.22631849322403,2.87303489118463,1.02303314208984,2.27607345581055,1.02303314208984
150,3,0.01,0,3,0.6,0.6,7.38001895687055,5.80804015042489,2.8298340081171,1.02822875976562,2.16704940795898,1.02822875976562
200,3,0.01,0,3,0.6,0.6,7.17674394425886,5.63944579007333,2.99102079406512,0.984825134277344,2.45507431030273,0.984825134277344
250,3,0.01,0,3,0.6,0.6,6.95988285033975,5.44607155783135,3.17826861473885,0.976829528808594,2.74882888793945,0.976829528808594
50,6,0.01,0,3,0.6,0.6,7.84817925461794,6.2209368254009,2.88928723994615,1.09414672851562,2.30732727050781,1.09414672851562
150,6,0.01,0,3,0.6,0.6,7.35789299552555,5.77233726099918,2.98844324987437,1.09431457519531,2.23445892333984,1.09431457519531
200,6,0.01,0,3,0.6,0.6,7.13840067547049,5.57894415604441,3.14978146865327,1.01822662353516,2.57584381103516,1.01822662353516
250,6,0.01,0,3,0.6,0.6,6.89694404244206,5.35778929057874,3.02547929945255,0.946823120117188,2.63465881347656,0.946823120117188
50,9,0.01,0,3,0.6,0.6,7.85497094700215,6.22230864407723,2.89249729824183,1.03803253173828,2.29765319824219,1.03803253173828
150,9,0.01,0,3,0.6,0.6,7.37260056566204,5.78375391374555,3.05899198316609,1.06577301025391,2.32997131347656,1.06577301025391
200,9,0.01,0,3,0.6,0.6,7.11316458977925,5.56431178042763,3.1019746677274,1.02424621582031,2.50302886962891,1.02424621582031
250,9,0.01,0,3,0.6,0.6,6.90237572155724,5.38270207455284,3.19720786037259,1.04510498046875,2.73807907104492,1.04510498046875
50,3,0.05,0,3,0.6,0.6,6.96708330496488,5.46251785546018,3.06438184558712,1.24002075195312,2.66951370239258,1.24002075195312
150,3,0.05,0,3,0.6,0.6,5.35279499318437,4.22711462723581,3.79097450892266,1.65740966796875,3.69448471069336,1.65740966796875
200,3,0.05,0,3,0.6,0.6,4.83488167316442,3.78533520614892,4.24100090090223,1.62277221679688,4.05766296386719,1.62277221679688
250,3,0.05,0,3,0.6,0.6,4.59098314638331,3.61956974498013,4.46553474891181,2.09781646728516,4.31669235229492,2.09781646728516
50,6,0.05,0,3,0.6,0.6,6.86225572731046,5.33901348448636,3.07882967726958,0.854118347167969,2.66196823120117,0.854118347167969
150,6,0.05,0,3,0.6,0.6,5.2741333476501,4.11663604200932,4.0392241979678,1.81515502929688,4.00094604492188,1.81515502929688
200,6,0.05,0,3,0.6,0.6,4.73380302238543,3.58359768516139,4.02343670825638,1.0421142578125,4.01111602783203,1.0421142578125
250,6,0.05,0,3,0.6,0.6,4.46556712471364,3.45711597643401,4.797551800449,1.01914215087891,4.77413177490234,1.01914215087891
50,9,0.05,0,3,0.6,0.6,6.90868807196119,5.36384997451515,3.09080144201205,1.14875030517578,2.66997146606445,1.14875030517578
150,9,0.05,0,3,0.6,0.6,5.30188950001877,4.08843565823739,4.46660287860315,0.853645324707031,4.36358642578125,0.853645324707031
200,9,0.05,0,3,0.6,0.6,4.74366952214973,3.63393428869415,4.0534248184917,0.148200988769531,4.0519905090332,0.148200988769531
250,9,0.05,0,3,0.6,0.6,4.42795018052727,3.41479077255517,4.33355969813843,0.796241760253906,4.33354568481445,0.796241760253906
50,3,0.1,0,3,0.6,0.6,6.04107692614834,4.71168999922903,3.61768033187955,1.85888671875,3.47323989868164,1.85888671875
150,3,0.1,0,3,0.6,0.6,4.32199830172687,3.42586557488692,3.98208402229146,2.31797790527344,3.9094123840332,2.31797790527344
200,3,0.1,0,3,0.6,0.6,4.03970167632302,3.15212196216249,3.93164791828627,0.655494689941406,3.83915710449219,0.655494689941406
250,3,0.1,0,3,0.6,0.6,3.89713921220097,3.06184293512712,4.45436654543698,1.91112518310547,4.40469741821289,1.91112518310547
50,6,0.1,0,3,0.6,0.6,5.99997796060336,4.62623770195141,3.99554699400954,1.24457550048828,3.79310607910156,1.24457550048828
150,6,0.1,0,3,0.6,0.6,4.27045090162193,3.28600833290502,5.66599593830003,0.0567855834960938,5.64621353149414,0.0567855834960938
200,6,0.1,0,3,0.6,0.6,4.04982917173671,3.15477779455352,4.93047143544033,0.812240600585938,4.80514144897461,0.812240600585938
250,6,0.1,0,3,0.6,0.6,3.88617065765516,3.01866203441954,3.31510846928979,0.0269393920898438,3.31186294555664,0.0269393920898438
50,9,0.1,0,3,0.6,0.6,5.95090243680925,4.61257733796772,4.24026707952515,1.07926940917969,4.07047271728516,1.07926940917969
150,9,0.1,0,3,0.6,0.6,4.20932519846863,3.32705782170881,5.2998773743826,0.553886413574219,5.26802062988281,0.553886413574219
200,9,0.1,0,3,0.6,0.6,4.14191571535917,3.26542784038343,5.11980631270632,1.40570831298828,5.09963607788086,1.40570831298828
250,9,0.1,0,3,0.6,0.6,4.08886836565703,3.23729103489926,5.4021894946835,0.632209777832031,5.19717407226562,0.632209777832031
50,3,0.01,0,5,0.6,0.6,7.84942923397551,6.2242416917232,2.89859405934537,1.03963470458984,2.30462265014648,1.03963470458984
150,3,0.01,0,5,0.6,0.6,7.37805298419634,5.82308491489343,2.99625459095373,1.04134368896484,2.30586242675781,1.04134368896484
200,3,0.01,0,5,0.6,0.6,7.15511654659841,5.62907356128358,2.98112128553184,1.01525115966797,2.44549179077148,1.01525115966797
250,3,0.01,0,5,0.6,0.6,6.94538973956069,5.4456801832768,3.0871774153698,1.13453674316406,2.67638397216797,1.13453674316406
50,6,0.01,0,5,0.6,0.6,7.8493952741238,6.21987285948636,2.88716759516972,1.06102752685547,2.29999923706055,1.06102752685547
150,6,0.01,0,5,0.6,0.6,7.34780491228591,5.77054087320964,3.00430457908866,1.26729583740234,2.28598403930664,1.26729583740234
200,6,0.01,0,5,0.6,0.6,7.10049817184443,5.56456100731565,3.05174472590978,1.23056030273438,2.4920768737793,1.23056030273438
250,6,0.01,0,5,0.6,0.6,6.88919821801729,5.38228607177734,3.16729281858607,1.13855743408203,2.7429084777832,1.13855743408203
50,9,0.01,0,5,0.6,0.6,7.84707101701601,6.21391108998081,2.84354403884907,1.00847625732422,2.25887680053711,1.00847625732422
150,9,0.01,0,5,0.6,0.6,7.35566275281019,5.78908338044819,2.92015133088927,1.17401123046875,2.21631622314453,1.17401123046875
200,9,0.01,0,5,0.6,0.6,7.12257959256338,5.57981297007778,2.9513680647853,1.06230926513672,2.44803237915039,1.06230926513672
250,9,0.01,0,5,0.6,0.6,6.90008282494023,5.37693893700315,3.13133473767641,1.16597747802734,2.70742797851562,1.16597747802734
