"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","bloom_doy","alt","speciesjamasakura","speciesyedoensis","cultivarNoneGiven","cultivarSomeiyoshino","locationkyoto","locationliestal","locationnyc","locationvancouver"
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.75,1.75,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,8,10,14.1,17.1,18.1,20.1,22.1,23.6,24.1,24.1,24.1,24.1,24.1,24.1,25.6,27.85,29.85,33.85,38.1,41.1,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,49.1,55.35,61.85,70.35,79.35,85.6,90.6,100.1,110.35,117.35,122.35,128.6,133.3,135.05,138.3,145.55,148.05,149.55,150.4,152.65,158.9,167.4,176.9,185.15,193.65,201.9,209.4,217.65,222.65,228.9,233.4,238.9,245.4,252.15,260.15,268.65,277.15,284.15,290.25,296.25,301.75,307.25,316.75,328.5,340.05,352.05,360.05,114,101.2,11.3885907820063,102.714285714286,9.65598753303334,113,350,0,0,1,0,0,1,0,0
1902,0,3.65,8.6,11.9,13.65,13.65,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,15.4,15.4,15.4,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,21.9,25.25,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,26.65,26.65,26.65,27.65,29.65,32.9,37.25,39.75,39.75,39.75,40.75,42.75,43,45.75,45.75,45.75,45.75,46,49.5,53,55.25,56.75,58.5,62.25,68.25,76,79.5,80.1,81.1,82.35,84.6,88.1,95.5,102,106.25,109,118.5,127.75,136.75,143.7,150.2,154.45,157.45,159.2,163.7,170.7,179.95,189.95,198.95,208.2,217.7,226.45,234.15,243.15,251.9,262.9,272.9,283.15,292.9,302.4,312.9,320.65,328.65,332.45,334.95,338.45,343.2,347.45,353.45,359.95,364.2,367.95,368.95,369.2,370.45,374.2,377.95,382.2,387.45,391.95,396.7,404.7,113,102.4,12.4217551094843,104,9.65105471660259,102,350,0,0,1,0,0,1,0,0
1903,0,0,3.75,9.45,15.95,18.95,19.45,21.2,24.95,26.7,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,31.45,34.45,34.45,34.7,34.7,34.7,34.95,34.95,34.95,34.95,34.95,36.7,40.2,47.2,58.7,60.7,62.95,66.45,72.45,78.45,80.7,83.45,86.95,88.45,92.6,94.85,94.85,94.85,94.85,94.85,94.85,95.85,98.6,100.85,103.85,107.1,110.35,112.85,114.35,116.6,121.15,127.75,136.25,141.8,152.05,162.8,173.8,179.8,186.3,190.55,193.8,196.8,199.05,200.8,204.3,208.05,211.3,216.3,221.55,221.55,221.8,225.35,226.35,228.85,228.85,229.85,230.35,230.35,230.35,230.35,230.85,233.6,238.1,241.1,244.6,247.1,250.35,255.35,262.1,267.1,274.6,280.35,285.7,295.45,304.7,314.2,324.2,332.45,339.7,347.95,354.95,361.95,369.2,376.7,384.2,392.45,401.95,102,105.6,8.61974477580398,103.777777777778,9.05231707600018,86,350,0,0,1,0,0,1,0,0
1904,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,3.75,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.75,8.75,11.25,14.75,19.25,23.75,25.75,27.75,29.5,29.75,29.75,32.1,32.1,32.1,32.1,33.6,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,37.5,40.75,46,50.75,56.75,58,58,58,59,61.5,62.5,65.35,69.85,70.85,73.65,76.9,78.65,79.9,79.9,80.9,84.4,87.9,91.4,95.15,97.65,98.65,99.65,103.65,106.65,111.65,114.9,121.65,128.5,133,140.75,146.5,150.5,157.05,169.05,182.8,200.6,213.1,222.1,230.85,242.35,250.35,260.65,267.4,271.4,278.15,285.4,289.4,294.15,297.65,304.45,314.2,324.95,335.45,343.95,350.2,356.25,362.9,367.75,374.5,380.25,386.05,394.05,401.8,410.8,422.05,436.8,86,101.6,12.2596900450215,102,10.2198064778373,104,350,0,0,1,0,0,1,0,0
1905,0,0,0,0,0,0.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.8,3.8,3.8,5.3,5.4,5.4,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6.35,6.35,6.35,6.35,6.35,6.35,7.6,7.95,9.45,12.95,20.95,28.8,33.5,36.95,40.3,43.2,46.45,48.65,52.75,55,59.35,61.6,65.1,69.35,74.4,78.65,81.4,87,90.75,101,111.2,116.5,121.25,128.5,132.95,139.2,140.65,140.65,141.65,143.15,150.85,159.3,168.8,178.05,187.3,195,202,207,210.75,215.7,220.55,223.95,226,227.95,230.7,234.45,240.95,249.65,259.4,269.15,278.65,291.65,299.45,306.15,312.4,319.7,329.25,338.4,345.9,351.9,356.95,364.25,374.2,381.75,384.55,391.65,396.9,104,103.8,11.2782977438973,101.8,10.15217546473,102,350,0,0,1,0,0,1,0,0
1906,0,0,0,0,4.95,10.6,12.65,15.3,16.9,19.65,19.65,19.65,22.5,24.75,24.75,24.75,28,33.35,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.85,37.7,37.75,37.75,37.75,37.75,37.75,37.75,41.05,45.9,46.7,46.7,51.45,53.15,53.15,56.6,61.4,65.35,69.95,76.25,77.95,83.45,88.7,88.7,90.3,91.75,97.75,106.6,113.1,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.95,116.2,117.25,117.25,121.5,127.8,134.65,138.95,146.2,153.95,162.95,171.95,180.7,190.2,197.15,205.05,211.8,221.05,228.55,233.55,240.15,246,249,250.25,253,256.45,259.5,265.7,267.8,270.3,273.85,277.1,286.6,296.85,304.2,313.15,324.05,335.35,346.7,357.7,369.2,381.45,394.7,408.45,419.95,427.65,102,101.4,9.73652915571047,101.3,9.98943886756853,103,350,0,0,1,0,0,1,0,0
1907,0,2.95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5,9.45,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,11.3,11.3,11.3,11.3,11.3,11.3,11.55,11.55,11.55,11.55,13.4,13.5,13.5,13.5,13.5,13.5,15.55,18.85,24.3,29.2,34.65,35.45,36.95,39.5,39.5,39.5,40.25,42.05,45.25,48.75,54.05,59.8,66.45,73.2,80.8,87.05,92.6,97.35,101.6,103.9,106.4,108.9,112.65,115.25,120.55,125.9,130.65,135.4,139.5,142.65,143.3,143.45,145.55,150.4,156.5,164.85,175.95,182.95,185.2,185.2,187.6,191.15,193.05,195.3,203.15,214.25,225.95,238.7,248.05,257.55,267.65,279.7,293.75,308.55,320.9,332.9,342.4,350.85,103,99.4,7.53657747256671,100.9,9.81438853022552,105,350,0,0,1,0,0,1,0,0
1908,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.15,5.15,6.9,6.9,6.9,9.4,12.85,15.9,15.9,15.9,15.9,15.9,17.65,17.65,17.65,17.65,17.65,17.65,17.65,21.4,22.95,24.55,30.4,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,32.15,32.6,37.05,40.2,43.7,43.8,43.8,45.85,47.6,51.55,56.05,59.85,61.35,64.1,69.4,72.15,73.2,73.2,73.2,75.35,77.05,79.3,84.1,87.25,89.5,91.6,97.2,104.7,112.5,118.95,119.2,119.2,119.2,121.3,125.6,128.15,130.5,133,136.25,146.1,154.55,160.6,168.6,180.35,193.45,207.25,220.95,231.45,239.6,251.15,265.4,279.6,293.8,309.7,318.45,325.7,335.95,105,100,7.90569415042095,102.8,8.33733237379386,119,350,0,0,1,0,0,1,0,0
1909,0,0,0,0,0,0,0,0,0,0,0,0,2.5,6.25,11.3,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,18.35,20.95,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,22.7,25.55,30.55,36.3,39.4,43.25,47.15,49.2,50.2,52.15,60.2,65.7,72,77.75,77.75,77.75,77.75,78.8,81.95,86.4,92.4,99.45,105.95,113.95,119.25,123.95,132.05,139.8,146.8,157.15,167.7,179.65,189.9,196.85,206.45,217.2,231.25,241.25,248.95,257.9,265.15,271.3,276.5,279.1,279.1,280.35,283.45,290.4,299.85,308.65,315.45,322.2,330.45,339.45,349.05,357.9,363.3,370.7,380.85,119,106.6,7.02139587261678,104.1,9.78036581910695,109,350,0,0,1,0,0,1,0,0
1910,0,0,0,0,0,0,0,0,0,0.9,4.4,5.35,5.35,5.35,6.65,8.95,9.25,11.25,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,17.95,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,22,25.85,27.85,30.9,37.9,44.1,47.05,53.4,58.5,58.9,58.9,58.9,58.9,58.9,59.45,60.85,62.5,64.5,67,70.1,76.1,81.6,87.85,92.25,95.7,99.5,102,105,107.2,107.2,107.2,107.45,109.85,110.2,111.05,114.2,116.75,119.35,122.8,124.75,124.75,124.75,124.75,125.8,129.35,133.65,137.1,141.6,144,147.25,149.55,150.35,151.15,157.15,165.95,178.3,187.5,192.15,194.85,199.65,204.35,212.5,220.9,228.85,234.2,240.15,246.7,251.9,256.4,261.55,267.6,270.35,272.75,273.55,276.8,282.15,284.95,290.95,296.65,299.95,302,304.85,305.45,311.65,319.1,327.6,338.15,349.3,109,107.6,6.91375440697744,105.7,9.04372096478484,105,350,0,0,1,0,0,1,0,0
