"ntree","mtry","nodesize","RMSE","MAE"
10,5,1,4.28793989829948,3.65
20,5,1,3.79720291793841,3.18214285714286
30,5,1,4.00755239397768,3.41904761904762
40,5,1,4.30450864128034,3.50892857142857
50,5,1,3.92770016312709,3.35
60,5,1,4.19195421715578,3.43690476190476
70,5,1,3.84287041952035,3.28673469387755
80,5,1,3.94474107424773,3.32857142857143
90,5,1,4.42561387844197,3.6468253968254
100,5,1,4.14395428822003,3.52
110,5,1,4.21513898871851,3.50844155844156
120,5,1,4.1392508763616,3.45297619047619
130,5,1,4.11824589861846,3.38021978021978
140,5,1,4.27382023002847,3.53469387755102
150,5,1,3.97481236454419,3.39285714285714
160,5,1,3.99115512056705,3.37678571428571
170,5,1,4.24010522724516,3.45714285714286
180,5,1,4.12998589703405,3.44246031746032
190,5,1,4.15693050587911,3.49624060150376
200,5,1,4.10096830900076,3.3775
210,5,1,4.16296356338385,3.45578231292517
220,5,1,4.07741949814739,3.375
230,5,1,4.01349919688576,3.27484472049689
240,5,1,4.06967422085465,3.38839285714286
250,5,1,3.94228171784528,3.20771428571428
260,5,1,4.26059169472739,3.4543956043956
270,5,1,4.20259536002945,3.37380952380952
280,5,1,4.09485106095085,3.37933673469388
290,5,1,4.14039540737811,3.47339901477832
300,5,1,4.10440442869434,3.375
10,15,1,4.98956053031871,4.25714285714286
20,15,1,4.24684757034136,3.55
30,15,1,4.27378498467554,3.64285714285714
40,15,1,3.93588685776698,3.39464285714286
50,15,1,4.19194806401851,3.55857142857143
60,15,1,4.21105875915023,3.49761904761905
70,15,1,4.05735483780793,3.43469387755102
80,15,1,4.09358437505742,3.55892857142857
90,15,1,4.43340295127739,3.66190476190476
100,15,1,4.16963598959361,3.45214285714286
110,15,1,4.06734410587066,3.55
120,15,1,3.95415694464157,3.48809523809524
130,15,1,4.00412878630022,3.42802197802198
140,15,1,4.17026953075981,3.58010204081633
150,15,1,4.17814229243967,3.56047619047619
160,15,1,4.22732560941734,3.61651785714286
170,15,1,4.31439124605357,3.65756302521008
180,15,1,4.15853359677243,3.59484126984127
190,15,1,4.32123991058811,3.69473684210526
200,15,1,4.28089568398283,3.57571428571429
210,15,1,4.14630164102274,3.61768707482993
220,15,1,4.11121798755603,3.51623376623377
230,15,1,4.26376121931678,3.63229813664596
240,15,1,4.05475085107405,3.48333333333333
250,15,1,4.21308682220395,3.55828571428571
260,15,1,4.16559972251086,3.59120879120879
270,15,1,4.18606431277961,3.59338624338624
280,15,1,4.05940210432601,3.49515306122449
290,15,1,4.12059432665873,3.52142857142857
300,15,1,4.26849030967736,3.65095238095238
10,25,1,3.63593179253957,3.34285714285714
20,25,1,4.63255174976877,3.71785714285714
30,25,1,4.34140274309788,3.72380952380952
40,25,1,4.36821412511534,3.84821428571428
50,25,1,4.33580771845669,3.70714285714286
60,25,1,4.03119285981406,3.45714285714286
70,25,1,4.29888282999267,3.73775510204082
80,25,1,4.06310297722952,3.48660714285714
90,25,1,4.2050098197001,3.71190476190476
100,25,1,4.29564397301,3.62857142857143
110,25,1,3.85161077329946,3.37857142857143
120,25,1,4.10859049711892,3.59523809523809
130,25,1,4.25149966082776,3.66373626373626
140,25,1,4.1830575081653,3.66071428571429
150,25,1,4.16377918997359,3.6347619047619
160,25,1,4.16705630618649,3.61517857142857
170,25,1,4.23525414313535,3.53739495798319
180,25,1,4.03239417987248,3.49047619047619
190,25,1,4.24280857618712,3.67593984962406
200,25,1,4.1052788316647,3.535
210,25,1,4.14800212231599,3.52925170068027
220,25,1,4.29627268371612,3.65681818181818
230,25,1,4.10143694808996,3.52795031055901
240,25,1,4.24497032562964,3.63720238095238
250,25,1,4.23377494509502,3.60571428571429
260,25,1,4.31006434887722,3.65989010989011
270,25,1,4.10404524107373,3.53730158730159
280,25,1,4.19313005404623,3.68469387755102
290,25,1,4.15585557411626,3.58497536945813
300,25,1,4.22920768218441,3.61261904761905
10,35,1,3.67928564495105,3.28571428571429
20,35,1,4.45942020574744,3.98571428571429
30,35,1,4.02354183386838,3.58095238095238
40,35,1,3.80782793353751,3.36785714285714
50,35,1,3.89636460599584,3.33428571428571
60,35,1,3.96576620431684,3.45952380952381
70,35,1,4.39673215517103,3.80816326530612
80,35,1,4.15698234686447,3.66875
90,35,1,4.35650095020081,3.64920634920635
100,35,1,4.12817669887601,3.6
110,35,1,4.36790443326483,3.80584415584416
120,35,1,4.2289059853978,3.71726190476191
130,35,1,4.11107713362903,3.56593406593407
140,35,1,4.13831427561172,3.58826530612245
150,35,1,4.08663404010902,3.49619047619048
160,35,1,4.13753540392708,3.62098214285714
170,35,1,4.0801213235429,3.55294117647059
180,35,1,4.22334284418651,3.64007936507936
190,35,1,4.18950036829829,3.60263157894737
200,35,1,4.19444551928925,3.59964285714286
210,35,1,4.19322188959215,3.60816326530612
220,35,1,4.15414598522824,3.56266233766234
230,35,1,4.2101853017952,3.59689440993789
240,35,1,4.13421484575645,3.58660714285714
250,35,1,4.18509136271667,3.62457142857143
260,35,1,4.10235265881398,3.51895604395604
270,35,1,4.19376409212953,3.58121693121693
280,35,1,4.24286970468146,3.64923469387755
290,35,1,4.25207959792422,3.68793103448276
300,35,1,4.30921889213317,3.71833333333333
10,45,1,4.43629510805067,3.82142857142857
20,45,1,4.20424955083714,3.59285714285714
30,45,1,4.03013450482538,3.55952380952381
40,45,1,4.15520865042556,3.57678571428572
50,45,1,4.48393003641098,3.85857142857143
60,45,1,4.39595773915588,3.96190476190476
70,45,1,4.10827757173417,3.48877551020408
80,45,1,4.29459273805029,3.69821428571429
90,45,1,4.18936568378215,3.66587301587302
100,45,1,4.27159388117765,3.70571428571429
110,45,1,4.34780203396663,3.72662337662338
120,45,1,4.11603703976269,3.5827380952381
130,45,1,4.22043142582821,3.63241758241758
140,45,1,4.41760822059523,3.80408163265306
150,45,1,4.28602898315497,3.74285714285714
160,45,1,4.30591467956328,3.68794642857143
170,45,1,4.34752843121326,3.81344537815126
180,45,1,4.16424400467978,3.5765873015873
190,45,1,4.14594051026802,3.63496240601504
200,45,1,4.23079378739127,3.65107142857143
210,45,1,4.23299318361334,3.66938775510204
220,45,1,4.1900210696779,3.58733766233766
230,45,1,4.33565252271576,3.74285714285714
240,45,1,4.2007320259178,3.55565476190476
250,45,1,4.25077687017326,3.64742857142857
260,45,1,4.01894959319334,3.51236263736264
270,45,1,4.17760750525466,3.57777777777778
280,45,1,4.16424644238842,3.59158163265306
290,45,1,4.27789072724297,3.70270935960591
300,45,1,4.16243232463218,3.56190476190476
10,55,1,4.24541769777385,3.86428571428571
20,55,1,4.64665778505676,3.95714285714286
30,55,1,3.92338329862588,3.54047619047619
40,55,1,4.16191812749843,3.66964285714286
50,55,1,3.80777400289761,3.32571428571429
60,55,1,4.00937393679853,3.49285714285714
70,55,1,4.43463870097252,3.79081632653061
80,55,1,4.12688809602864,3.59285714285714
90,55,1,4.34488082897442,3.72380952380953
100,55,1,4.26943790211311,3.71571428571429
110,55,1,4.33077521138226,3.69545454545455
120,55,1,4.41128884182749,3.7125
130,55,1,4.24906135524968,3.70769230769231
140,55,1,4.17752734208617,3.56326530612245
150,55,1,4.14877109362539,3.60428571428571
160,55,1,4.16876405544857,3.62142857142857
170,55,1,4.25511439529584,3.60882352941177
180,55,1,4.29287662093144,3.70277777777778
190,55,1,4.06791912008467,3.54360902255639
200,55,1,4.21426192487232,3.66214285714285
210,55,1,4.23486978843984,3.61530612244898
220,55,1,4.3004739449416,3.70584415584416
230,55,1,4.34105357623801,3.78354037267081
240,55,1,4.17078888349845,3.63184523809524
250,55,1,4.26311837575668,3.70971428571429
260,55,1,4.24982956746428,3.67445054945055
270,55,1,4.22624274834984,3.67116402116402
280,55,1,4.32716571857107,3.64719387755102
290,55,1,4.27544481914605,3.685960591133
300,55,1,4.11236077103057,3.55619047619048
10,65,1,5.17114245459495,4.00714285714286
20,65,1,3.90064097296842,3.39285714285714
30,65,1,4.34974912613561,3.76666666666667
40,65,1,4.28158431958478,3.69285714285714
50,65,1,4.30160767288563,3.71428571428571
60,65,1,4.13178974633711,3.54880952380952
70,65,1,4.28222476985875,3.7030612244898
80,65,1,4.250074841778,3.80625
90,65,1,4.16941285162993,3.53650793650794
100,65,1,4.19500297973673,3.65642857142857
110,65,1,4.1555491981367,3.68506493506494
120,65,1,4.19567875773339,3.54880952380952
130,65,1,4.25840623574584,3.74615384615385
140,65,1,4.12322538910128,3.68316326530612
150,65,1,4.3247970867163,3.73190476190476
160,65,1,4.29296819145648,3.75
170,65,1,4.25739506662661,3.71764705882353
180,65,1,4.27975629364344,3.72380952380953
190,65,1,4.2703765580759,3.73721804511278
200,65,1,4.19697722857092,3.72357142857143
210,65,1,4.21216057721155,3.60816326530612
220,65,1,4.23550918728325,3.70811688311688
230,65,1,4.23168321795747,3.66770186335404
