"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,3,0.01,0,1,0.6,0.6,7.63650927736543,5.90904235839844
150,3,0.01,0,1,0.6,0.6,7.15412847743978,5.51097433907645
200,3,0.01,0,1,0.6,0.6,6.96212024692474,5.40215247017997
250,3,0.01,0,1,0.6,0.6,6.74511282980442,5.22679301670619
50,6,0.01,0,1,0.6,0.6,7.64999814039844,5.94068908691406
150,6,0.01,0,1,0.6,0.6,7.13399958191974,5.51799011230469
200,6,0.01,0,1,0.6,0.6,6.90356454545636,5.31847490583147
250,6,0.01,0,1,0.6,0.6,6.67538458360416,5.18785912649972
50,9,0.01,0,1,0.6,0.6,7.62868888724326,5.90527289254325
150,9,0.01,0,1,0.6,0.6,7.13048741236116,5.49843324933733
200,9,0.01,0,1,0.6,0.6,6.88329596573888,5.33050046648298
250,9,0.01,0,1,0.6,0.6,6.67880790221691,5.20466722760882
50,3,0.05,0,1,0.6,0.6,6.74625252318273,5.2613890511649
150,3,0.05,0,1,0.6,0.6,5.27740017893628,4.37958036150251
200,3,0.05,0,1,0.6,0.6,4.61339021970573,3.97819028581892
250,3,0.05,0,1,0.6,0.6,4.42414318012153,3.89124189104353
50,6,0.05,0,1,0.6,0.6,6.69762280957028,5.16025597708566
150,6,0.05,0,1,0.6,0.6,5.06557167010726,4.28266034807478
200,6,0.05,0,1,0.6,0.6,4.46916876270442,3.79989842006138
250,6,0.05,0,1,0.6,0.6,4.36223261129361,3.8476186479841
50,9,0.05,0,1,0.6,0.6,6.68040205760708,5.24412972586496
150,9,0.05,0,1,0.6,0.6,5.33098775701791,4.37439455304827
200,9,0.05,0,1,0.6,0.6,4.68531075056925,3.96095439365932
250,9,0.05,0,1,0.6,0.6,4.33758906031249,3.87264633178711
50,3,0.1,0,1,0.6,0.6,5.75033461686492,4.60531561715262
150,3,0.1,0,1,0.6,0.6,4.2122401173633,3.65923200334821
200,3,0.1,0,1,0.6,0.6,3.98891127502476,3.50662558419364
250,3,0.1,0,1,0.6,0.6,3.4331828994277,3.03591973440988
50,6,0.1,0,1,0.6,0.6,5.91564422579434,4.79311752319336
150,6,0.1,0,1,0.6,0.6,4.15076027355053,3.59736851283482
200,6,0.1,0,1,0.6,0.6,4.32616634411406,3.77299935477121
250,6,0.1,0,1,0.6,0.6,4.35570340728741,3.73806544712612
50,9,0.1,0,1,0.6,0.6,5.67903199141259,4.48970685686384
150,9,0.1,0,1,0.6,0.6,4.3859272136145,3.82074574061802
200,9,0.1,0,1,0.6,0.6,3.8915325842992,3.46279307774135
250,9,0.1,0,1,0.6,0.6,4.12620996937741,3.60307366507394
50,3,0.01,0,3,0.6,0.6,7.64549014041261,5.93642861502511
150,3,0.01,0,3,0.6,0.6,7.16721014310518,5.53596115112305
200,3,0.01,0,3,0.6,0.6,6.91073401317229,5.34756088256836
250,3,0.01,0,3,0.6,0.6,6.7257674787348,5.21487154279436
50,6,0.01,0,3,0.6,0.6,7.64000214376682,5.92157418387277
150,6,0.01,0,3,0.6,0.6,7.16745038711545,5.54631587437221
200,6,0.01,0,3,0.6,0.6,6.92676028413855,5.35452052525112
250,6,0.01,0,3,0.6,0.6,6.73355511543528,5.22942842755999
50,9,0.01,0,3,0.6,0.6,7.64372407574395,5.93216214861189
150,9,0.01,0,3,0.6,0.6,7.12831726957958,5.49265452793666
200,9,0.01,0,3,0.6,0.6,6.93295081192464,5.37207848685128
250,9,0.01,0,3,0.6,0.6,6.75195617959788,5.24082238333566
50,3,0.05,0,3,0.6,0.6,6.70504792668276,5.22670582362584
150,3,0.05,0,3,0.6,0.6,5.16196442272196,4.23691994803292
200,3,0.05,0,3,0.6,0.6,4.81371834820351,4.11633246285575
250,3,0.05,0,3,0.6,0.6,4.15676816993373,3.47070094517299
50,6,0.05,0,3,0.6,0.6,6.70596396003191,5.2075936453683
150,6,0.05,0,3,0.6,0.6,5.01361777792944,4.08543722970145
200,6,0.05,0,3,0.6,0.6,4.46162748329795,3.73152760096959
250,6,0.05,0,3,0.6,0.6,4.2185171230397,3.54713330950056
50,9,0.05,0,3,0.6,0.6,6.71101112003856,5.26179776872907
150,9,0.05,0,3,0.6,0.6,5.05609168472591,4.0241824558803
200,9,0.05,0,3,0.6,0.6,4.57310352219975,3.8244503566197
250,9,0.05,0,3,0.6,0.6,4.44391961643631,3.78449358258929
50,3,0.1,0,3,0.6,0.6,5.94793207010818,4.77960586547852
150,3,0.1,0,3,0.6,0.6,4.07605946552362,3.43690654209682
