"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","bloom_doy"
1951,0.6,0.6,0.6,0.6,1,1,1,2.25,3.2,6,8.9,9.45,9.45,9.45,9.45,9.45,9.65,11.35,12.15,16.45,16.45,16.45,16.45,17.95,19.3,19.3,19.3,19.3,20.25,21.65,24,26.5,28.15,28.15,28.15,28.15,28.15,28.15,28.15,29.85,33.05,33.05,33.05,33.05,33.05,33.05,33.05,33.15,33.15,36.2,36.2,38.65,45.15,52.65,59.15,63.95,69.85,74.75,82.9,89.65,90.05,90.05,90.05,90.05,92,95.25,96.7,99.7,105.9,112.35,113.8,115.45,118.85,127.25,133.35,140.8,148.75,153,155.7,157.6,161.95,162.15,164.55,167.65,175.5,183.1,189.3,196.1,198.2,202.5,209.4,219.65,226.9,236.15,243.85,251.15,260.5,272.3,281.45,286.65,294.55,301.65,307.95,316.15,325.95,335.3,342.75,349.5,356.8,368.35,380,388.1,397.3,404.5,410.85,419.25,429.3,442.15,456.45,468.45,478.05,489.6,502.55,516.6,529.45,541.55,555.7,569,583,597.65,613.25,631.15,648,662.85,677.9,695.35,99,102.4,4.56070170039655,101.9,4.62961481479111,98
1952,5.1,6,7.1,7.45,9.75,9.75,11.95,12.1,12.1,12.1,13.65,13.65,13.65,14,14.8,14.8,15.8,15.8,15.8,16.3,19.1,21.9,23.6,23.85,23.85,23.85,23.85,23.85,24.65,28.55,28.55,29.7,30,30,30,30,30,30,30.9,30.9,31.95,31.95,31.95,34.1,35.65,35.65,38.85,39.15,39.15,39.15,39.15,39.15,39.15,39.15,39.15,39.15,41.8,43.75,46.9,50.65,51.5,53.75,57.75,57.75,58.9,62.6,62.6,66.3,71.5,72.65,72.65,72.65,74.35,79.4,85.5,91.85,96.75,103.95,110.45,110.55,112.85,117.25,121.8,122.9,124.55,129.75,133.55,138.1,142.75,149.3,155.45,159.6,162.05,166.3,173,184,193.15,203.7,215.4,229.35,242.25,255.2,270.3,281.95,290.8,300.8,309.25,320.8,331.85,340.25,350.05,361.6,370.1,378.05,386.45,392.85,398.8,406.15,416.2,427.65,443.1,455.2,467.2,482.6,496.35,506.5,518,531.8,543.45,554.3,566.4,578.95,591.45,604.85,620,632.8,98,102.6,4.27784992724149,100.7,3.77270901784558,105
1953,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,4.4,6,6,6,6,6,6,6,6,7,7,7.2,7.2,7.2,8.5,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,13,17,21.1,23.9,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,29,32.7,34.8,36.8,44,51.9,60,63.5,64.3,65.5,67.1,74.5,76.6,80,88.3,97.2,100.3,103.5,107.8,112.3,114.2,116.9,122.1,130.6,139.4,143.3,150.3,155.7,163.8,171.4,174.3,178,180.2,182,184.1,186.6,191,198.7,205.4,209.5,216.1,220.4,225.2,233.3,244.5,254.5,264.9,268.8,273.6,279.9,286.9,293.6,297.3,302.9,310.5,320.8,328.5,334.9,341.9,348.6,357.5,370.5,383.8,399.4,415.8,425.8,434.6,443.4,453.8,466.5,478.9,492.8,504.4,517.5,530.3,545.6,563.3,577.4,594,605,617.7,631,105,102.2,3.83405790253616,101.2,3.99444058105206,101
1954,0,2.2,4.3,5.4,7.9,9.7,10.8,11.4,17.8,23.6,23.6,23.6,25.6,30.2,34.4,38.6,42.3,45.4,48.8,53.3,57.8,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,59.1,65.4,69.9,71.3,71.3,72.2,75.3,79.5,80.1,80.1,80.1,80.1,80.1,80.1,82.1,89.3,99.2,111.9,117.1,123.5,128.9,133.8,136,136,136.4,137,137,138.7,141.1,144.4,147.5,147.5,147.5,147.5,148.9,151.7,157.3,166.6,170.3,172.1,173.9,178.2,181.6,187.6,197.2,209.7,219.3,222,228.1,234.7,245.9,256.3,265.9,278.3,291.2,303.6,314.7,324.3,330.6,340.2,355.2,369.4,378.2,385.9,394.8,408.3,423.6,436.3,447.3,454,462.1,470.8,483.3,497.6,512.5,523.5,528.1,537,547.1,557.7,573.8,590.2,601.4,611.3,623.1,635.7,648.9,665,677.7,689.8,705,720.3,738,750.5,761.2,773.4,101,102,3.87298334620742,101.7,3.56058671819376,98
1955,2.2,2.2,2.2,2.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.4,3.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,6.9,9.3,11.6,14,14.1,14.1,14.1,15.8,18.6,18.8,19.1,20.9,24.2,28.6,30.4,30.4,32.4,36.6,39.8,44.3,44.3,44.3,45,45.3,49.6,50,51.4,52.4,57.2,57.2,57.2,58.4,63.9,69.5,73.9,81.2,89.5,95.6,100.4,106.6,112.8,116.7,116.7,118.3,119.4,123.3,126.7,130.5,135.2,142.9,147.5,150.6,154.8,161.8,173.3,180.3,186.4,192.9,200.5,207.2,212.4,218.6,225.5,229.2,235.8,241.5,247.9,254.5,263.1,271,279.7,287.9,289.6,294.2,303.3,315.7,327.9,341,353.8,365.8,380.7,397,411.1,423.6,436.9,448.1,455,460.1,466.8,476.2,486.2,498,509.7,518.7,529.7,542.1,553.4,562.7,575,587.7,599.6,611.8,623.7,637.4,653.1,665.8,680.7,696,714.4,731.7,745.3,757,771.4,786.2,802.1,98,100.2,2.94957624075052,101.4,3.74759181934805,97
1956,2.5,2.8,5.8,10.6,15.7,19,19,19,19,19,19,19,19.3,19.3,19.3,19.3,20.4,23.6,28.2,30.1,32.4,35.3,36,36,36,36,36.1,36.1,36.1,37.7,41.1,41.1,41.1,41.9,43.7,45,47.4,50.3,52.5,52.5,52.5,52.5,52.5,52.5,53.7,56.1,58.5,58.5,58.5,58.5,58.5,58.7,58.7,58.7,59,59,59,59.6,62.7,63.6,63.7,64.1,64.1,66.5,70.8,74.2,77.4,77.4,77.4,77.4,77.4,77.4,78.1,81.9,89.8,101,111.8,123.4,128.7,131.4,135.6,142.5,151.9,161.6,172.4,178.1,181.9,190.8,200.3,206.6,212.2,213.8,218.6,225.1,231.2,236.5,244.2,250.7,256.8,265.7,274.4,282.6,293.2,305.4,318.7,334.3,351.2,360.6,371.4,383.4,393.6,404.5,417.7,430,441.5,452.8,466,476.1,484.9,492.3,502.9,516.3,528.2,541.7,558.7,575.3,586.7,594.9,607.9,622,636.9,651.3,664.5,674.6,684.3,692.4,97,99.8,3.27108544675922,101.1,3.9846929339383,99
1957,4.7,7.9,11.4,13.5,13.5,13.5,13.5,13.5,13.5,14.9,17.8,17.8,17.8,17.8,22.4,25.3,26.9,28.4,28.4,28.4,28.4,28.4,29,29,29.6,32.4,37.7,40.4,43.1,47.7,47.7,47.7,47.7,49.1,53.2,57.4,59.8,65.1,69.4,70.9,71.3,71.3,71.3,71.3,71.3,73.7,74.3,74.3,74.8,74.8,74.8,76.5,77.2,78.4,78.4,78.4,79.8,79.8,79.8,79.8,79.8,84.4,91,91.6,91.6,93,94.4,98,98.6,98.9,98.9,98.9,98.9,98.9,101.3,105.3,110.1,116.5,122.7,125.8,125.8,130,133.9,136.6,136.6,138.5,141.9,147.6,156.4,159.9,162.9,166.3,169.1,176.3,184.8,194.9,206.5,218.8,233.2,245.5,256.7,265.8,276.2,287.4,297.3,309.5,319.7,332.5,344.7,358,373,386.3,400.6,415.5,428.2,438.9,451.5,462.1,477.4,493.1,504.8,513.6,523.7,534.9,547.5,559.9,569.8,582.9,598.2,615.3,629.5,642,654.8,666.7,678,693.6,99,100,3.16227766016838,101.3,3.8020462326957,103
1958,0,0.7,0.7,0.7,0.7,1.4,2.5,4.9,9.5,11.7,12.4,16.2,21.6,28,31.9,31.9,31.9,31.9,31.9,31.9,32.3,32.3,32.3,32.3,32.3,33.6,33.6,35.2,36.2,36.2,36.2,37.4,42.3,46,47.7,47.7,49.3,50.4,52.6,52.9,53.1,57.2,57.2,57.2,57.2,58.4,58.4,58.4,58.4,59.5,59.5,62.2,65.9,73.7,78,81.1,84.9,85.1,85.1,85.1,85.1,85.1,85.1,86.7,86.7,86.7,87.9,90.5,94.4,98.5,105,113.9,120.7,124.5,131.7,139.1,143.4,146.7,153.9,164.2,171.9,180.4,189.5,198.9,206.1,210,210.1,210.1,210.1,214.2,219.5,225.7,233.4,244.2,256.6,268.6,277.4,290.8,297.2,302.6,307.4,316.6,324.7,329,334.2,343.8,353.3,358.5,365.5,378.2,392.3,410.4,426.8,444,457.7,472.6,480.8,490.6,502.3,516.6,529,540.6,553,564,573.3,585,600,613.6,631.5,648.7,663.8,670.6,681.3,694.4,705.7,718.1,103,99.6,2.40831891575846,100.9,3.31494930412049,99
1959,1.7,1.9,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.1,4.1,4.4,4.8,8.3,13.5,18.4,21.1,24.4,25.1,25.1,25.5,28.7,33.6,36.5,40.9,47.5,48.2,51.7,56.3,56.5,56.5,56.5,61.1,68.2,75.8,83.7,91.5,95.1,101.1,109.2,113.7,117.5,120.2,121.3,122.8,125.1,125.8,129.7,132.8,136.6,137,140.1,146.4,156.8,167.6,175.3,179.8,185,188.6,190.6,190.6,190.9,192.1,196.4,199.3,201.6,205.9,212,219.2,226,230.3,232.7,237.8,243.4,249.2,258.4,271.7,281.3,288.3,294.2,301.9,313.7,326.6,335.1,342.9,352.1,361.5,372.7,381.2,389.1,395.7,404.9,411.5,423.3,433.5,442,449.8,460.9,474.1,485.7,500,507,517,530.2,546.9,560.2,571.6,585.1,600.1,613.9,629.1,645.8,665.9,682.5,694.8,707.6,718.2,728.2,741.5,756.8,768,780.4,794.5,809.1,823.2,99,99.2,2.28035085019828,100.6,3.33999334663343,92
1960,3.2,4.6,5.3,9.6,12.8,12.8,12.8,13.8,15.4,17.9,20.3,21,21,21,22.3,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,26.4,28,29.4,29.4,29.4,29.4,29.6,31.4,37.7,44.7,45.8,45.8,45.8,46.6,49.1,49.1,49.1,49.9,49.9,49.9,51.3,51.3,51.3,52.3,54.7,60.3,68.2,71.1,74.9,80.5,85.1,90.8,92.1,92.8,96.7,104.6,108.9,118,124.1,132,141.3,151.5,152.9,152.9,153.5,153.5,153.5,154.9,159.7,169.6,176.2,178.4,184.7,185.3,191,198.4,200.6,204.8,213.3,227.2,236.9,239.8,241.6,245.4,252,258.4,266.8,269.7,274.9,283.6,291.7,297,306.5,317.6,327.2,335.3,342.4,347.4,352.4,361.5,369.9,379.1,389.3,401.1,416.4,428.1,442.2,455,466.9,480.8,491.5,506.4,519.6,534.8,548.2,562.8,577.7,585.1,595.9,607.2,616.5,626.7,640.5,656.8,670.7,688.4,92,98,4,99.1,3.5103022978402,95
