"ntree","mtry","nodesize","RMSE","MAE"
10,5,1,2.62324771446171,1.9
20,5,1,3.17383274381532,2.27142857142857
30,5,1,2.68617861572077,1.95714285714286
40,5,1,2.85856326299969,2.13392857142857
50,5,1,2.876173052612,2.20142857142857
60,5,1,2.84256200111075,2.00238095238095
70,5,1,2.9600252146117,2.26326530612245
80,5,1,2.94468536095115,2.24553571428571
90,5,1,2.87157356588127,2.10079365079365
100,5,1,2.94440268014705,2.17928571428572
110,5,1,2.84042541337132,2.04545454545455
120,5,1,2.96762959225463,2.23809523809524
130,5,1,2.94440527113308,2.21923076923077
140,5,1,2.9389909218104,2.16632653061224
150,5,1,2.95379175201735,2.24428571428571
160,5,1,2.98330828916729,2.16428571428571
170,5,1,2.84424690989181,2.00126050420168
180,5,1,2.83792889058325,2.06349206349206
190,5,1,2.85227226325116,2.04360902255639
200,5,1,2.79442940764044,1.98714285714286
210,5,1,2.80310895704625,2.08809523809524
220,5,1,2.99424699267256,2.23603896103896
230,5,1,2.81419020086284,2.03633540372671
240,5,1,2.8254520989555,2.07440476190476
250,5,1,2.74523545698465,1.99771428571428
260,5,1,2.95720747966192,2.21373626373626
270,5,1,2.84907770658676,2.10555555555555
280,5,1,2.92894285847668,2.16734693877551
290,5,1,2.88482407680888,2.15665024630542
300,5,1,2.90759923877644,2.17190476190476
10,15,1,2.94424377872679,2.18571428571428
20,15,1,2.88812222733041,2.20357142857143
30,15,1,2.69209601470322,2.00714285714286
40,15,1,2.89860650017506,2.16964285714286
50,15,1,3.03356461703295,2.27142857142857
60,15,1,2.92684957124523,2.20119047619048
70,15,1,2.8661058393255,2.04183673469388
80,15,1,2.91266668744346,2.10446428571429
90,15,1,2.80818751289578,2.03571428571429
100,15,1,2.95255579359404,2.15428571428571
110,15,1,2.9044148701414,2.18506493506494
120,15,1,2.9434686912736,2.16309523809524
130,15,1,2.85890003024323,2.12362637362637
140,15,1,2.79893123084248,1.98061224489796
150,15,1,2.86515741000856,2.15190476190476
160,15,1,2.87938718058449,2.06785714285715
170,15,1,2.82142954128768,2.12352941176471
180,15,1,3.00945123522768,2.1781746031746
190,15,1,2.86220752139468,2.03007518796992
200,15,1,2.81426722256434,2.04285714285714
210,15,1,2.92669122764089,2.1547619047619
220,15,1,2.91095415168283,2.16883116883117
230,15,1,2.88687396985916,2.15124223602485
240,15,1,2.85520510306275,2.06517857142857
250,15,1,2.95494607154078,2.20485714285714
260,15,1,2.89225618085998,2.14450549450549
270,15,1,2.98094691057004,2.19179894179894
280,15,1,2.93958822556154,2.19795918367347
290,15,1,2.98259531430279,2.23768472906404
300,15,1,2.93400790403713,2.10023809523809
