"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,3,0.01,0,1,0.6,0.6,3.8048564113837,2.71874346051897
150,3,0.01,0,1,0.6,0.6,3.39913738037441,2.28052847726004
200,3,0.01,0,1,0.6,0.6,3.25707420131184,2.11505617414202
250,3,0.01,0,1,0.6,0.6,3.14070065672891,2.03435461861747
50,6,0.01,0,1,0.6,0.6,3.80208282295747,2.71058981759208
150,6,0.01,0,1,0.6,0.6,3.3847107464706,2.23230579921177
200,6,0.01,0,1,0.6,0.6,3.24330779876747,2.16290119716099
250,6,0.01,0,1,0.6,0.6,3.14781490774703,2.06570598057338
50,9,0.01,0,1,0.6,0.6,3.80800756363832,2.72677666800363
150,9,0.01,0,1,0.6,0.6,3.35843273542471,2.18608038766044
200,9,0.01,0,1,0.6,0.6,3.23549673969493,2.11443165370396
250,9,0.01,0,1,0.6,0.6,3.10991156497647,2.02400697980608
50,3,0.05,0,1,0.6,0.6,3.11520463526801,2.06542369297573
150,3,0.05,0,1,0.6,0.6,2.61683784025388,1.97853742327009
200,3,0.05,0,1,0.6,0.6,2.72108139492164,2.12705775669643
250,3,0.05,0,1,0.6,0.6,2.79743648168425,2.34604154314314
50,6,0.05,0,1,0.6,0.6,3.11202950479566,2.0748291015625
150,6,0.05,0,1,0.6,0.6,2.69278986004319,2.11226763044085
200,6,0.05,0,1,0.6,0.6,2.61151998086148,2.0988518851144
250,6,0.05,0,1,0.6,0.6,2.75205181500338,2.23028564453125
50,9,0.05,0,1,0.6,0.6,3.05809289858369,1.93281936645508
150,9,0.05,0,1,0.6,0.6,2.6962007475682,2.02309962681362
200,9,0.05,0,1,0.6,0.6,2.77996080867184,2.19424819946289
250,9,0.05,0,1,0.6,0.6,2.93269360033535,2.3391363961356
50,3,0.1,0,1,0.6,0.6,2.79496999120961,1.88489042009626
150,3,0.1,0,1,0.6,0.6,3.08670626748113,2.52236502511161
200,3,0.1,0,1,0.6,0.6,3.11637683882543,2.60136250087193
250,3,0.1,0,1,0.6,0.6,3.12078136727835,2.43585423060826
50,6,0.1,0,1,0.6,0.6,2.83860432275548,1.92101069859096
150,6,0.1,0,1,0.6,0.6,3.2085839721105,2.44466345650809
200,6,0.1,0,1,0.6,0.6,2.57020302348376,1.99505451747349
250,6,0.1,0,1,0.6,0.6,2.98443583827227,2.33009719848633
50,9,0.1,0,1,0.6,0.6,2.92077410490265,2.00208500453404
150,9,0.1,0,1,0.6,0.6,3.08822675000311,2.56567709786551
200,9,0.1,0,1,0.6,0.6,3.00917753693089,2.51031494140625
250,9,0.1,0,1,0.6,0.6,3.41013471292417,2.99776949201311
50,3,0.01,0,3,0.6,0.6,3.82439104820145,2.73408344813756
150,3,0.01,0,3,0.6,0.6,3.36668972521222,2.22987747192383
200,3,0.01,0,3,0.6,0.6,3.28884252498969,2.14662551879883
250,3,0.01,0,3,0.6,0.6,3.18413434348697,2.10693413870675
