"","DATE","TMAX","TMIN","PRCP","SNWD","TAVG"
"1",1901-01-01,7.5,-1,22,NA,3.25
"2",1901-01-02,0,-4,25,NA,-2
"3",1901-01-03,-3,-7,0,NA,-5
"4",1901-01-04,-4.5,-11.5,0,NA,-8
"5",1901-01-05,-5.5,-13.5,0,NA,-9.5
"6",1901-01-06,-8,-14,0,NA,-11
"7",1901-01-07,-4.5,-12,0,NA,-8.25
"8",1901-01-08,-2,-11.5,0,NA,-6.75
"9",1901-01-09,1,-7,0,NA,-3
"10",1901-01-10,1,-6,0,NA,-2.5
"11",1901-01-11,4.7,-3.5,0,NA,0.6
"12",1901-01-12,6,0,0,NA,3
"13",1901-01-13,1,-3,0,NA,-1
"14",1901-01-14,-0.5,-6,0,NA,-3.25
"15",1901-01-15,-0.5,-9,0,NA,-4.75
"16",1901-01-16,-2,-7,0,NA,-4.5
"17",1901-01-17,-1,-11,0,NA,-6
"18",1901-01-18,0.5,-9,0,NA,-4.25
"19",1901-01-19,3.5,-6.5,0,NA,-1.5
"20",1901-01-20,5,-2.5,32,NA,1.25
"21",1901-01-21,6,1,60,NA,3.5
"22",1901-01-22,6,2,0,NA,4
"23",1901-01-23,6.5,2.5,0,NA,4.5
"24",1901-01-24,6.5,1.5,0,NA,4
"25",1901-01-25,8.5,2,5,NA,5.25
"26",1901-01-26,6,1.5,35,NA,3.75
"27",1901-01-27,8.5,3,60,NA,5.75
"28",1901-01-28,9.5,2.5,110,NA,6
"29",1901-01-29,8,-2,61,NA,3
"30",1901-01-30,2,-3,4,NA,-0.5
"31",1901-01-31,1.8,-6.5,0,NA,-2.35
"32",1901-02-01,2,-4.4,144,NA,-1.2
"33",1901-02-02,1.5,-4.2,6,NA,-1.35
"34",1901-02-03,2,-6,0,NA,-2
"35",1901-02-04,4.5,-1.5,35,NA,1.5
"36",1901-02-05,6,-1.5,20,NA,2.25
"37",1901-02-06,2.5,-0.5,30,NA,1
"38",1901-02-07,1.5,-2,0,NA,-0.25
"39",1901-02-08,0,-3.5,7,NA,-1.75
"40",1901-02-09,-0.5,-5,0,NA,-2.75
"41",1901-02-10,2,-7.5,2,NA,-2.75
"42",1901-02-11,2.5,-2.5,2,NA,0
"43",1901-02-12,-1.5,-11,0,NA,-6.25
"44",1901-02-13,0.5,-7,6,NA,-3.25
"45",1901-02-14,-3,-10,1,NA,-6.5
"46",1901-02-15,-6,-15.5,0,NA,-10.75
"47",1901-02-16,-4.5,-16,30,NA,-10.25
"48",1901-02-17,-0.5,-6,20,NA,-3.25
"49",1901-02-18,-3,-10,31,NA,-6.5
"50",1901-02-19,-2.5,-12,6,NA,-7.25
"51",1901-02-20,-4,-10.8,0,NA,-7.4
"52",1901-02-21,-6,-16.5,0,NA,-11.25
"53",1901-02-22,-3.5,-17,0,NA,-10.25
"54",1901-02-23,0,-14,0,NA,-7
"55",1901-02-24,2.5,-4,0,NA,-0.75
"56",1901-02-25,5,-2,0,NA,1.5
"57",1901-02-26,7,-1.5,0,NA,2.75
"58",1901-02-27,8.8,-2.4,0,NA,3.2
"59",1901-02-28,11,2,6,NA,6.5
"60",1901-03-01,9,3,6,NA,6
"61",1901-03-02,13,3.2,15,NA,8.1
"62",1901-03-03,10,4,45,NA,7
"63",1901-03-04,7.5,2.5,20,NA,5
"64",1901-03-05,9.5,2.5,20,NA,6
"65",1901-03-06,10,2,20,NA,6
"66",1901-03-07,9,2,1,NA,5.5
"67",1901-03-08,9.5,-0.5,0,NA,4.5
"68",1901-03-09,6.5,-2,0,NA,2.25
"69",1901-03-10,6,1.5,15,NA,3.75
"70",1901-03-11,6,1,7,NA,3.5
"71",1901-03-12,4,0,60,NA,2
"72",1901-03-13,6,0.5,1,NA,3.25
"73",1901-03-14,11.5,-0.5,0,NA,5.5
"74",1901-03-15,10.5,2,6,NA,6.25
"75",1901-03-16,9,3,40,NA,6
"76",1901-03-17,12,4,1,NA,8
"77",1901-03-18,12.5,4,0,NA,8.25
"78",1901-03-19,11,3,0,NA,7
"79",1901-03-20,8,5,290,NA,6.5
"80",1901-03-21,6.5,0,25,NA,3.25
"81",1901-03-22,2.5,-1.5,3,NA,0.5
"82",1901-03-23,2,-2.5,0,NA,-0.25
"83",1901-03-24,2,-2,1,NA,0
"84",1901-03-25,7,-3.5,1,NA,1.75
"85",1901-03-26,3.5,-2.5,0,NA,0.5
"86",1901-03-27,2.8,-5.5,7,NA,-1.35
"87",1901-03-28,1.5,-2.5,0,NA,-0.5
"88",1901-03-29,2.5,-4.5,2,NA,-1
"89",1901-03-30,12,-4,0,NA,4
"90",1901-03-31,14.5,4.5,0,NA,9.5
"91",1901-04-01,13.3,7.2,77,NA,10.25
"92",1901-04-02,15.5,5.5,0,NA,10.5
"93",1901-04-03,17.5,7.5,0,NA,12.5
"94",1901-04-04,18.5,7.5,30,NA,13
"95",1901-04-05,15.5,5,230,NA,10.25
"96",1901-04-06,14,4,13,NA,9
"97",1901-04-07,15.5,11.5,145,NA,13.5
"98",1901-04-08,17,11.5,60,NA,14.25
"99",1901-04-09,13,9,184,NA,11
