"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","Chilling_Hours","Utah_Model","Chill_Portions","GDH","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","ACC_TMAX_Fall","ACC_TMAX_Spring","ACC_TMAX_Winter","ACC_TMIN_Fall","ACC_TMIN_Spring","ACC_TMIN_Winter","ACC_TAVG_Fall","ACC_TAVG_Spring","ACC_TAVG_Winter","ACC_PRCP_Fall","ACC_PRCP_Spring","ACC_PRCP_Winter","AVG_TMAX_Fall","AVG_TMAX_Spring","AVG_TMAX_Winter","AVG_TMIN_Fall","AVG_TMIN_Spring","AVG_TMIN_Winter","AVG_TAVG_Fall","AVG_TAVG_Spring","AVG_TAVG_Winter","AVG_PRCP_Fall","AVG_PRCP_Spring","AVG_PRCP_Winter","bloom_doy"
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.75,1.75,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,8,10,14.1,17.1,18.1,20.1,22.1,23.6,24.1,24.1,24.1,24.1,24.1,24.1,25.6,27.85,29.85,33.85,38.1,41.1,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,49.1,55.35,61.85,70.35,79.35,85.6,90.6,100.1,110.35,117.35,122.35,128.6,133.3,135.05,138.3,145.55,148.05,149.55,150.4,152.65,158.9,167.4,176.9,185.15,193.65,201.9,209.4,217.65,222.65,228.9,233.4,238.9,245.4,252.15,260.15,268.65,277.15,284.15,290.25,296.25,301.75,307.25,316.75,328.5,340.05,352.05,360.05,912,682.5,39.9363947599036,538.237133908203,114,102.4,12.4217551094843,104,9.65105471660259,1160.7,1315.6,243.8,527.9,416.6,-328.4,844.3,866.1,-42.3,2096,2086,1329,12.7549450549451,14.3,2.70888888888889,5.8010989010989,4.52826086956522,-3.64888888888889,9.27802197802198,9.41413043478261,-0.47,23.032967032967,22.6739130434783,14.7666666666667,113
1902,0,3.65,8.6,11.9,13.65,13.65,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,15.4,15.4,15.4,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,17.65,21.9,25.25,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,26.65,26.65,26.65,27.65,29.65,32.9,37.25,39.75,39.75,39.75,40.75,42.75,43,45.75,45.75,45.75,45.75,46,49.5,53,55.25,56.75,58.5,62.25,68.25,76,79.5,80.1,81.1,82.35,84.6,88.1,95.5,102,106.25,109,118.5,127.75,136.75,143.7,150.2,154.45,157.45,159.2,163.7,170.7,179.95,189.95,198.95,208.2,217.7,226.45,234.15,243.15,251.9,262.9,272.9,283.15,292.9,302.4,312.9,320.65,328.65,332.45,334.95,338.45,343.2,347.45,353.45,359.95,364.2,367.95,368.95,369.2,370.45,374.2,377.95,382.2,387.45,391.95,396.7,404.7,791,784,37.8445402117602,642.284168191443,113,105.6,8.61974477580398,103.777777777778,9.05231707600018,1119.4,1293.1,396.8,520.8,445.1,-136.5,820.1,869.1,130.15,1708,1633,1774,12.3010989010989,14.0554347826087,4.40888888888889,5.72307692307692,4.83804347826087,-1.51666666666667,9.01208791208791,9.44673913043478,1.44611111111111,18.7692307692308,17.75,19.7111111111111,102
1903,0,0,3.75,9.45,15.95,18.95,19.45,21.2,24.95,26.7,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,31.45,34.45,34.45,34.7,34.7,34.7,34.95,34.95,34.95,34.95,34.95,36.7,40.2,47.2,58.7,60.7,62.95,66.45,72.45,78.45,80.7,83.45,86.95,88.45,92.6,94.85,94.85,94.85,94.85,94.85,94.85,95.85,98.6,100.85,103.85,107.1,110.35,112.85,114.35,116.6,121.15,127.75,136.25,141.8,152.05,162.8,173.8,179.8,186.3,190.55,193.8,196.8,199.05,200.8,204.3,208.05,211.3,216.3,221.55,221.55,221.8,225.35,226.35,228.85,228.85,229.85,230.35,230.35,230.35,230.35,230.85,233.6,238.1,241.1,244.6,247.1,250.35,255.35,262.1,267.1,274.6,280.35,285.7,295.45,304.7,314.2,324.2,332.45,339.7,347.95,354.95,361.95,369.2,376.7,384.2,392.45,401.95,881,753,34.5629959548442,652.499984807878,102,101.6,12.2596900450215,102,10.2198064778373,1312.5,1312.3,452,643,406.6,-99.1,977.75,859.45,176.45,1695,1416,1013,14.4230769230769,14.2641304347826,5.02222222222222,7.06593406593407,4.4195652173913,-1.10111111111111,10.7445054945055,9.34184782608696,1.96055555555556,18.6263736263736,15.3913043478261,11.2555555555556,86
1904,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,3.75,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.75,8.75,11.25,14.75,19.25,23.75,25.75,27.75,29.5,29.75,29.75,32.1,32.1,32.1,32.1,33.6,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,37.5,40.75,46,50.75,56.75,58,58,58,59,61.5,62.5,65.35,69.85,70.85,73.65,76.9,78.65,79.9,79.9,80.9,84.4,87.9,91.4,95.15,97.65,98.65,99.65,103.65,106.65,111.65,114.9,121.65,128.5,133,140.75,146.5,150.5,157.05,169.05,182.8,200.6,213.1,222.1,230.85,242.35,250.35,260.65,267.4,271.4,278.15,285.4,289.4,294.15,297.65,304.45,314.2,324.95,335.45,343.95,350.2,356.25,362.9,367.75,374.5,380.25,386.05,394.05,401.8,410.8,422.05,436.8,830,694.5,42.4984984405622,996.831246301664,86,103.8,11.2782977438973,101.8,10.15217546473,1150.2,1401.2,425.8,502.7,531.5,-94.4,826.45,966.35,165.7,1392,1756,1849,12.6395604395604,15.2304347826087,4.67912087912088,5.52417582417582,5.77717391304348,-1.03736263736264,9.08186813186813,10.5038043478261,1.82087912087912,15.2967032967033,19.0869565217391,20.3186813186813,104
1905,0,0,0,0,0,0.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3.8,3.8,3.8,5.3,5.4,5.4,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6.35,6.35,6.35,6.35,6.35,6.35,7.6,7.95,9.45,12.95,20.95,28.8,33.5,36.95,40.3,43.2,46.45,48.65,52.75,55,59.35,61.6,65.1,69.35,74.4,78.65,81.4,87,90.75,101,111.2,116.5,121.25,128.5,132.95,139.2,140.65,140.65,141.65,143.15,150.85,159.3,168.8,178.05,187.3,195,202,207,210.75,215.7,220.55,223.95,226,227.95,230.7,234.45,240.95,249.65,259.4,269.15,278.65,291.65,299.45,306.15,312.4,319.7,329.25,338.4,345.9,351.9,356.95,364.25,374.2,381.75,384.55,391.65,396.9,975,793.5,41.4557530809057,599.62428284283,104,101.4,9.73652915571047,101.3,9.98943886756853,1046.5,1318.3,331,452.3,461.6,-194.2,749.4,889.95,68.4,2898,2477,915,11.5,14.329347826087,3.67777777777778,4.97032967032967,5.01739130434783,-2.15777777777778,8.23516483516483,9.67336956521739,0.76,31.8461538461538,26.9239130434783,10.1666666666667,102
1906,0,0,0,0,4.95,10.6,12.65,15.3,16.9,19.65,19.65,19.65,22.5,24.75,24.75,24.75,28,33.35,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.85,37.7,37.75,37.75,37.75,37.75,37.75,37.75,41.05,45.9,46.7,46.7,51.45,53.15,53.15,56.6,61.4,65.35,69.95,76.25,77.95,83.45,88.7,88.7,90.3,91.75,97.75,106.6,113.1,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.95,116.2,117.25,117.25,121.5,127.8,134.65,138.95,146.2,153.95,162.95,171.95,180.7,190.2,197.15,205.05,211.8,221.05,228.55,233.55,240.15,246,249,250.25,253,256.45,259.5,265.7,267.8,270.3,273.85,277.1,286.6,296.85,304.2,313.15,324.05,335.35,346.7,357.7,369.2,381.45,394.7,408.45,419.95,427.65,756,715.5,36.9583781492396,891.101922742976,102,99.4,7.53657747256671,100.9,9.81438853022552,1395.2,1314.5,360,590.5,414,-190.2,992.85,864.25,84.9,1793,1915,1415,15.3318681318681,14.2880434782609,4,6.48901098901099,4.5,-2.11333333333333,10.9104395604396,9.39402173913044,0.943333333333333,19.7032967032967,20.8152173913043,15.7222222222222,103
1907,0,2.95,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5,9.45,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,11.3,11.3,11.3,11.3,11.3,11.3,11.55,11.55,11.55,11.55,13.4,13.5,13.5,13.5,13.5,13.5,15.55,18.85,24.3,29.2,34.65,35.45,36.95,39.5,39.5,39.5,40.25,42.05,45.25,48.75,54.05,59.8,66.45,73.2,80.8,87.05,92.6,97.35,101.6,103.9,106.4,108.9,112.65,115.25,120.55,125.9,130.65,135.4,139.5,142.65,143.3,143.45,145.55,150.4,156.5,164.85,175.95,182.95,185.2,185.2,187.6,191.15,193.05,195.3,203.15,214.25,225.95,238.7,248.05,257.55,267.65,279.7,293.75,308.55,320.9,332.9,342.4,350.85,919,947.5,44.129054996997,1307.11864878523,103,100,7.90569415042095,102.8,8.33733237379386,1343.2,1295.4,361.5,645.8,377.8,-178.9,994.5,836.6,91.3,1187,1768,1654,14.7604395604396,14.0804347826087,4.01666666666667,7.0967032967033,4.10652173913043,-1.98777777777778,10.9285714285714,9.09347826086957,1.01444444444444,13.043956043956,19.2173913043478,18.3777777777778,105
1908,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.15,5.15,6.9,6.9,6.9,9.4,12.85,15.9,15.9,15.9,15.9,15.9,17.65,17.65,17.65,17.65,17.65,17.65,17.65,21.4,22.95,24.55,30.4,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,31.65,32.15,32.6,37.05,40.2,43.7,43.8,43.8,45.85,47.6,51.55,56.05,59.85,61.35,64.1,69.4,72.15,73.2,73.2,73.2,75.35,77.05,79.3,84.1,87.25,89.5,91.6,97.2,104.7,112.5,118.95,119.2,119.2,119.2,121.3,125.6,128.15,130.5,133,136.25,146.1,154.55,160.6,168.6,180.35,193.45,207.25,220.95,231.45,239.6,251.15,265.4,279.6,293.8,309.7,318.45,325.7,335.95,950,749,38.5666690563326,405.942408234704,105,106.6,7.02139587261678,104.1,9.78036581910695,1176.6,1251.1,283.8,445.2,396.3,-259.4,810.9,823.7,12.2,1739,1874,1309,12.9296703296703,13.5989130434783,3.11868131868132,4.89230769230769,4.30760869565217,-2.85054945054945,8.91098901098901,8.95326086956522,0.134065934065934,19.1098901098901,20.3695652173913,14.3846153846154,119
1909,0,0,0,0,0,0,0,0,0,0,0,0,2.5,6.25,11.3,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,18.35,20.95,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,22.7,25.55,30.55,36.3,39.4,43.25,47.15,49.2,50.2,52.15,60.2,65.7,72,77.75,77.75,77.75,77.75,78.8,81.95,86.4,92.4,99.45,105.95,113.95,119.25,123.95,132.05,139.8,146.8,157.15,167.7,179.65,189.9,196.85,206.45,217.2,231.25,241.25,248.95,257.9,265.15,271.3,276.5,279.1,279.1,280.35,283.45,290.4,299.85,308.65,315.45,322.2,330.45,339.45,349.05,357.9,363.3,370.7,380.85,877,727,42.5778980110366,1008.44355515739,119,107.6,6.91375440697744,105.7,9.04372096478484,1175.4,1341.3,341.8,546.2,358.7,-234.2,860.8,850,53.8,2412,1179,1105,12.9164835164835,14.579347826087,3.79777777777778,6.0021978021978,3.89891304347826,-2.60222222222222,9.45934065934066,9.23913043478261,0.597777777777778,26.5054945054945,12.8152173913043,12.2777777777778,109
1910,0,0,0,0,0,0,0,0,0,0.9,4.4,5.35,5.35,5.35,6.65,8.95,9.25,11.25,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,14.75,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,17.95,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,22,25.85,27.85,30.9,37.9,44.1,47.05,53.4,58.5,58.9,58.9,58.9,58.9,58.9,59.45,60.85,62.5,64.5,67,70.1,76.1,81.6,87.85,92.25,95.7,99.5,102,105,107.2,107.2,107.2,107.45,109.85,110.2,111.05,114.2,116.75,119.35,122.8,124.75,124.75,124.75,124.75,125.8,129.35,133.65,137.1,141.6,144,147.25,149.55,150.35,151.15,157.15,165.95,178.3,187.5,192.15,194.85,199.65,204.35,212.5,220.9,228.85,234.2,240.15,246.7,251.9,256.4,261.55,267.6,270.35,272.75,273.55,276.8,282.15,284.95,290.95,296.65,299.95,302,304.85,305.45,311.65,319.1,327.6,338.15,349.3,1046,947,43.5223219196649,989.027098407422,109,108.2,6.41872261435249,104.8,8.56089299599574,1190.6,1283.2,541.4,560,385,11.8,875.3,834.1,276.6,2059,1035,2461,13.0835164835165,13.9478260869565,6.01555555555556,6.15384615384615,4.18478260869565,0.131111111111111,9.61868131868132,9.06630434782609,3.07333333333333,22.6263736263736,11.25,27.3444444444444,105
