"ntree","mtry","nodesize","RMSE","MAE"
10,5,1,5.48028085602094,4.43043478260869
20,5,1,4.7338971903386,3.39565217391304
30,5,1,4.74871454765102,3.7695652173913
40,5,1,4.82447902120913,3.8
50,5,1,5.09921733124843,3.99826086956522
60,5,1,4.87421367373221,3.80942028985507
70,5,1,4.97129470798572,3.87453416149068
80,5,1,4.96762138535747,3.8679347826087
90,5,1,5.01520928858071,3.94106280193237
100,5,1,4.82618221605947,3.84782608695652
110,5,1,4.91082826817986,3.74466403162055
120,5,1,4.69354610076433,3.76992753623189
130,5,1,4.72881951284657,3.7010033444816
140,5,1,4.996445275879,3.8611801242236
150,5,1,4.73026375259162,3.77130434782609
160,5,1,4.87076652162185,3.86494565217391
170,5,1,4.93881657200783,3.90639386189258
180,5,1,4.83395881343479,3.87826086956522
190,5,1,4.85402894646579,3.90480549199085
200,5,1,4.76470059281068,3.77608695652174
210,5,1,4.84975689801369,3.87950310559006
220,5,1,4.75032612304066,3.81581027667984
230,5,1,4.86319932265224,3.88317580340265
240,5,1,4.80438175920318,3.81539855072464
250,5,1,4.83684748211243,3.82904347826087
260,5,1,4.80251808521708,3.7623745819398
270,5,1,4.89565566444409,3.93397745571659
280,5,1,4.90642867767601,3.79534161490683
290,5,1,4.80868246815733,3.85112443778111
300,5,1,4.85561286847525,3.83202898550725
10,15,1,5.52268050859363,4.23478260869565
20,15,1,5.25828538759464,4.2304347826087
30,15,1,4.93799720788912,3.80434782608696
40,15,1,4.81425645529933,3.68478260869565
50,15,1,4.97255948441916,3.88260869565217
60,15,1,4.73786652693521,3.64275362318841
70,15,1,4.97133308254122,3.92732919254658
80,15,1,4.83998854651897,3.67391304347826
90,15,1,4.86835388660453,3.71497584541063
100,15,1,4.90060022943064,3.81782608695652
110,15,1,4.89066517163631,3.8300395256917
120,15,1,4.97595941517304,3.88224637681159
130,15,1,4.93162066957792,3.72608695652174
140,15,1,4.90456684671132,3.75124223602485
150,15,1,4.83514608684778,3.66579710144927
160,15,1,4.80695915501004,3.67853260869565
170,15,1,4.88777854637455,3.79156010230179
180,15,1,4.88480079955315,3.74178743961353
190,15,1,4.92990368865163,3.8045766590389
200,15,1,4.86540270463411,3.73695652173913
210,15,1,4.95790721290502,3.81863354037267
220,15,1,4.93149495306975,3.78972332015811
230,15,1,4.82796690167973,3.78223062381853
240,15,1,4.94171768431763,3.80760869565217
250,15,1,4.95260732385961,3.78347826086957
260,15,1,4.93191168759771,3.79247491638796
270,15,1,4.95061530285894,3.78486312399356
280,15,1,4.92306802962465,3.82624223602484
290,15,1,4.93060177801839,3.8095952023988
300,15,1,4.89344582858487,3.76739130434783
10,25,1,5.2425931187434,3.98695652173913
20,25,1,5.33185667963552,4.08260869565217
30,25,1,5.21060327346364,4.01884057971014
40,25,1,5.04817821207508,4.06413043478261
50,25,1,4.89529499044524,3.66173913043478
60,25,1,4.99019086117133,3.91014492753623
70,25,1,4.81413089306322,3.65031055900621
80,25,1,5.06773481363265,3.99076086956522
90,25,1,5.03807670193058,3.82270531400966
100,25,1,5.05251852824518,3.87521739130435
110,25,1,4.89458404039551,3.69486166007905
120,25,1,4.89731668863596,3.78659420289855
130,25,1,4.90764276927431,3.70869565217391
140,25,1,4.9288630753569,3.82919254658385
150,25,1,5.06099606396017,3.87536231884058
160,25,1,4.8862530378604,3.775
170,25,1,4.97424750669493,3.80716112531969
180,25,1,4.90816399539479,3.81376811594203
190,25,1,4.87859447895477,3.75972540045767
200,25,1,4.90078842370419,3.76630434782609
210,25,1,4.96756947859784,3.84513457556936
220,25,1,5.02388340028817,3.88715415019763
230,25,1,4.94520156238793,3.80926275992439
240,25,1,5.02810586413193,3.84655797101449
250,25,1,4.91838686881221,3.73565217391304
260,25,1,4.90704243660671,3.77742474916388
270,25,1,4.93180874731866,3.81642512077295
280,25,1,4.90136987850251,3.8082298136646
290,25,1,4.92680215932586,3.82908545727136
300,25,1,4.98070668986187,3.88739130434783
10,35,1,4.80552218580467,3.90434782608696
20,35,1,5.0891295061567,3.73695652173913
30,35,1,5.03442736934381,3.73188405797101
40,35,1,4.77761992773735,3.69565217391304
50,35,1,4.93208307698288,3.74
60,35,1,5.07789920995616,3.69057971014493
70,35,1,5.18020171382528,3.92360248447205
80,35,1,4.87359860013291,3.7679347826087
90,35,1,4.83473132095118,3.61594202898551
100,35,1,5.02133751452565,3.75
110,35,1,5.06993491365974,3.91699604743083
120,35,1,4.97519450740104,3.7572463768116
130,35,1,5.02172947452956,3.77391304347826
140,35,1,5.08591841309932,3.92298136645963
