"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,3,0.01,0,1,0.6,0.6,11.0467736883342,9.01372063678244
150,3,0.01,0,1,0.6,0.6,10.3998418213529,8.35772041652514
200,3,0.01,0,1,0.6,0.6,10.0727143911349,8.04139875329059
250,3,0.01,0,1,0.6,0.6,9.75570053507445,7.7451228266177
50,6,0.01,0,1,0.6,0.6,11.0613963431729,9.01541966977327
150,6,0.01,0,1,0.6,0.6,10.4021547507969,8.3692802760912
200,6,0.01,0,1,0.6,0.6,10.0790078544969,8.03935772439708
250,6,0.01,0,1,0.6,0.6,9.75033122443482,7.75315093994141
50,9,0.01,0,1,0.6,0.6,11.0476434334453,9.00799361519192
150,9,0.01,0,1,0.6,0.6,10.3826165117244,8.35670570705248
200,9,0.01,0,1,0.6,0.6,10.0692376026891,8.05147618832796
250,9,0.01,0,1,0.6,0.6,9.74998798786412,7.74131111476732
50,3,0.05,0,1,0.6,0.6,9.76998102296848,7.74872323741084
150,3,0.05,0,1,0.6,0.6,7.51988647826976,5.98470837136974
200,3,0.05,0,1,0.6,0.6,6.36901562563136,4.89609759786855
250,3,0.05,0,1,0.6,0.6,5.84713706775418,4.53685395613961
50,6,0.05,0,1,0.6,0.6,9.7963807712871,7.77948528787364
150,6,0.05,0,1,0.6,0.6,7.42964118614348,5.94093024212381
200,6,0.05,0,1,0.6,0.6,6.63085880351082,5.22207940143088
250,6,0.05,0,1,0.6,0.6,5.73151881232473,4.43218960969344
50,9,0.05,0,1,0.6,0.6,9.77033279615455,7.7534700476605
150,9,0.05,0,1,0.6,0.6,7.39347114881391,5.93551503057065
200,9,0.05,0,1,0.6,0.6,6.4610840475399,5.0408763056216
250,9,0.05,0,1,0.6,0.6,5.56857975377507,4.35406427798064
50,3,0.1,0,1,0.6,0.6,8.56661677999923,6.86116326373556
150,3,0.1,0,1,0.6,0.6,5.21757056559232,4.04570040495499
200,3,0.1,0,1,0.6,0.6,4.16101871540913,3.40413931141729
250,3,0.1,0,1,0.6,0.6,4.06015960791805,3.40291197403618
50,6,0.1,0,1,0.6,0.6,8.29774590043839,6.58310898490574
