"ntree","mtry","nodesize","RMSE","MAE"
10,5,1,4.77862086708125,3.47391304347826
20,5,1,4.42954507429571,3.37826086956522
30,5,1,5.20668466659844,4.13623188405797
40,5,1,5.05922532306728,4.20652173913043
50,5,1,4.8945399925969,3.96173913043478
60,5,1,4.54063909396491,3.68768115942029
70,5,1,4.75630343441716,3.64658385093168
80,5,1,4.91589383818048,3.89293478260869
90,5,1,4.90778572357582,3.90386473429952
100,5,1,4.67634937512809,3.81304347826087
110,5,1,4.68073743234207,3.77193675889328
120,5,1,4.85894855278869,3.95615942028986
130,5,1,4.92498996066828,4.06053511705686
140,5,1,4.89638151165936,3.91242236024845
150,5,1,4.72718666014013,3.86463768115942
160,5,1,4.67129608707821,3.81440217391304
170,5,1,4.77395773795991,3.80920716112532
180,5,1,4.74282363223019,3.88671497584541
190,5,1,4.65730451728625,3.81327231121281
200,5,1,4.74053244120183,3.84217391304348
210,5,1,4.67538059129622,3.75569358178054
220,5,1,4.64887678218818,3.66047430830039
230,5,1,4.81065500509431,3.94593572778828
240,5,1,4.80017187821295,3.81992753623188
250,5,1,4.7697271456005,3.87791304347826
260,5,1,4.88171186714197,3.9690635451505
270,5,1,4.72872804978334,3.92834138486312
280,5,1,4.84354480130369,3.9305900621118
290,5,1,4.7381242745314,3.84197901049475
300,5,1,4.73178092525823,3.84289855072464
10,15,1,5.29749735826924,4.08695652173913
20,15,1,4.88126409144545,3.73478260869565
30,15,1,5.10099450377436,4.21884057971014
40,15,1,4.83796972778422,3.64239130434783
50,15,1,4.61231621526161,3.62086956521739
60,15,1,4.56160991582518,3.48260869565217
70,15,1,4.89290542661038,3.90496894409938
80,15,1,4.84878752773623,3.86358695652174
90,15,1,4.77553930260271,3.74975845410628
100,15,1,4.92265437411124,3.80217391304348
110,15,1,4.59938324850395,3.64861660079051
120,15,1,4.75272804955675,3.65217391304348
130,15,1,4.86246445607273,3.84548494983278
140,15,1,4.82659948156639,3.79037267080745
150,15,1,4.97765286247682,3.99072463768116
160,15,1,4.73346306147495,3.8304347826087
170,15,1,4.7947017672488,3.77442455242967
180,15,1,4.82824361366684,3.79541062801932
190,15,1,4.74572469983806,3.77574370709382
200,15,1,4.98534515398361,3.95021739130435
210,15,1,4.73927386320608,3.74927536231884
220,15,1,4.80383687529022,3.8798418972332
230,15,1,4.74717532256716,3.76105860113422
240,15,1,4.98058807253814,3.95
250,15,1,4.84778906127409,3.81913043478261
